stockid,fao_area
GPOCTOBSAI,61;67
GPOCTOGA,67
GRAMBERGM,31
GRAMBERSATLC,31
GRNSTROCKPCOAST,67;77
GRSPROCKNCAL,67
GRSPROCKSCAL,77
GTRIGGM,31
HAD5Y,21
HADGB,21
HERRNWATLC,21
HERRPWS,67
HERRSITKA,67
HERRTOG,67
HOGFISHEGM,31
HOGFISHSEFL,31
ILLEXNWATLC,21
KELPGREENLINGORECOAST,67
KMACKGM,31
KMACKSATLC,31
KMFLOUNBSAI,61;67
LINGCODNPCOAST,67
LINGCODSPCOAST,77
LISQUIDATLC,31
LNOSESKAPCOAST,67;77
LOBSTERGB,21
LOBSTERGOM,21
